,date_received,complaint_id,rand_client,phonefinal,vru_line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time,event_timestamp
0,2017-03-27,CR2406263,4587.0,977-806-9726,AA0103,34536.0,0.0,NW,AGENT,MICHAL,13:34:11,13:40:23,00:06:12,2022-05-10 10:28:40.489688
1,2017-03-27,CR2405641,3328.0,322-598-7152,AA0205,34537.0,0.0,PS,AGENT,TOVA,10:58:22,11:16:10,00:17:48,2022-05-01 10:06:11.489688
2,2017-03-27,CR2405629,1685.0,508-311-5237,AA0110,34538.0,2.0,PS,AGENT,YIFAT,13:00:54,13:13:31,00:12:37,2022-05-07 06:52:26.489688
3,2017-03-23,CR2400594,1945.0,265-394-2727,AA0113,34540.0,2.0,PS,AGENT,AVNI,16:18:21,16:19:40,00:01:19,2022-05-03 03:03:25.489688
4,2017-03-22,CR2399607,4303.0,206-008-0460,AA0102,34541.0,1.0,PS,AGENT,STEREN,14:48:22,14:55:19,00:06:57,2022-05-08 18:42:23.489688
5,2017-03-22,CR2398621,10209.0,617-060-9671,AA0203,34542.0,0.0,PS,AGENT,ANAT,09:15:43,09:32:44,00:17:01,2022-05-07 12:01:39.489688
6,2017-03-22,CR2398447,4248.0,617-739-1926,AA0203,34543.0,0.0,PS,AGENT,YIFAT,11:33:16,11:41:36,00:08:20,2022-05-01 01:10:04.489688
7,2017-03-22,CR2398401,486.0,478-749-3447,AA0204,34544.0,0.0,PS,AGENT,TOVA,15:05:09,15:17:45,00:12:36,2022-05-08 00:27:29.489688
8,2017-03-22,CR2398768,2342.0,994-862-3218,AA0101,34545.0,0.0,NW,AGENT,STEREN,10:19:11,10:19:57,00:00:46,2022-05-08 09:19:45.489688
9,2017-03-21,CR2397737,3730.0,617-161-9051,AA0205,34546.0,0.0,PS,AGENT,YIFAT,10:47:11,10:53:13,00:06:02,2022-05-10 09:11:23.489688
10,2017-03-21,CR2398271,1891.0,953-476-9580,AA0105,34547.0,0.0,NW,AGENT,MIKI,14:20:21,14:31:52,00:11:31,2022-05-07 12:49:21.489688
11,2017-03-17,CR2392378,3321.0,254-815-1076,AA0106,34549.0,1.0,PS,AGENT,DORIT,09:00:11,09:03:53,00:03:42,2022-05-03 02:23:20.489688
