card_id,disp_id,type,year,month,day,fulldate,date,event_timestamp
V00001005,D00009285,VISA Signature,2013,11,7,2013-11-07,2013-11-07,2022-07-17 09:39:48.810305
V00000104,D00000588,VISA Signature,2014,1,19,2014-01-19,2014-01-19,2022-07-18 08:58:14.810305
V00000747,D00004915,VISA Signature,2014,2,5,2014-02-05,2014-02-05,2022-07-17 12:04:26.810305
V00000070,D00000439,VISA Signature,2014,2,8,2014-02-08,2014-02-08,2022-07-22 15:41:09.810305
V00000577,D00003687,VISA Signature,2014,2,15,2014-02-15,2014-02-15,2022-07-24 06:57:15.810305
V00000377,D00002429,VISA Signature,2014,3,3,2014-03-03,2014-03-03,2022-07-18 08:31:07.810305
V00000721,D00004680,VISA Standard,2014,4,5,2014-04-05,2014-04-05,2022-07-16 23:45:15.810305
V00000437,D00002762,VISA Signature,2014,6,1,2014-06-01,2014-06-01,2022-07-23 09:12:56.810305
V00000188,D00001146,VISA Signature,2014,6,19,2014-06-19,2014-06-19,2022-07-16 22:51:35.810305
V00000013,D00000087,VISA Signature,2014,6,29,2014-06-29,2014-06-29,2022-07-25 04:28:10.810305
V00000732,D00004763,VISA Signature,2014,7,21,2014-07-21,2014-07-21,2022-07-25 08:41:45.810305
V00000181,D00001066,VISA Signature,2014,8,19,2014-08-19,2014-08-19,2022-07-18 22:22:56.810305
V00000384,D00002475,VISA Standard,2014,9,15,2014-09-15,2014-09-15,2022-07-25 22:02:35.810305
V00000309,D00001946,VISA Signature,2014,9,19,2014-09-19,2014-09-19,2022-07-23 17:24:07.810305
V00000478,D00003084,VISA Signature,2014,10,9,2014-10-09,2014-10-09,2022-07-22 05:58:26.810305
V00000563,D00003589,VISA Signature,2014,10,21,2014-10-21,2014-10-21,2022-07-23 23:09:31.810305
V00000369,D00002363,VISA Signature,2014,11,8,2014-11-08,2014-11-08,2022-07-18 22:45:30.810305
V00000376,D00002428,VISA Signature,2014,11,10,2014-11-10,2014-11-10,2022-07-16 19:47:27.810305
V00000483,D00003115,VISA Signature,2014,11,24,2014-11-24,2014-11-24,2022-07-19 12:20:32.810305
V00000174,D00001039,VISA Standard,2014,12,4,2014-12-04,2014-12-04,2022-07-24 15:40:49.810305
V00000658,D00004251,VISA Signature,2014,12,25,2014-12-25,2014-12-25,2022-07-17 07:13:11.810305
V00000763,D00005138,VISA Standard,2014,12,30,2014-12-30,2014-12-30,2022-07-25 04:07:01.810305
V00000778,D00005275,VISA Signature,2015,1,2,2015-01-02,2015-01-02,2022-07-24 08:16:46.810305
V00001039,D00009837,VISA Signature,2015,1,7,2015-01-07,2015-01-07,2022-07-24 06:37:51.810305
V00000477,D00003082,VISA Standard,2015,1,16,2015-01-16,2015-01-16,2022-07-20 06:20:41.810305
V00000168,D00001018,VISA Signature,2015,1,24,2015-01-24,2015-01-24,2022-07-21 23:38:23.810305
V00000314,D00001999,VISA Standard,2015,1,27,2015-01-27,2015-01-27,2022-07-23 13:16:24.810305
V00000468,D00003023,VISA Signature,2015,1,30,2015-01-30,2015-01-30,2022-07-19 01:29:56.810305
V00000208,D00001246,VISA Infinite,2015,2,8,2015-02-08,2015-02-08,2022-07-21 15:50:09.810305
V00000766,D00005200,VISA Signature,2015,2,11,2015-02-11,2015-02-11,2022-07-24 13:44:47.810305
V00000464,D00002984,VISA Signature,2015,2,21,2015-02-21,2015-02-21,2022-07-22 23:16:52.810305
V00000497,D00003184,VISA Signature,2015,3,3,2015-03-03,2015-03-03,2022-07-25 09:45:47.810305
V00000166,D00000999,VISA Signature,2015,3,5,2015-03-05,2015-03-05,2022-07-21 01:48:48.810305
V00000015,D00000114,VISA Signature,2015,3,5,2015-03-05,2015-03-05,2022-07-16 02:06:01.810305
V00000503,D00003225,VISA Signature,2015,3,8,2015-03-08,2015-03-08,2022-07-16 05:28:42.810305
V00001038,D00009787,VISA Standard,2015,3,30,2015-03-30,2015-03-30,2022-07-20 19:57:48.810305
V00000737,D00004791,VISA Signature,2015,4,13,2015-04-13,2015-04-13,2022-07-15 12:03:48.810305
V00000418,D00002623,VISA Signature,2015,4,14,2015-04-14,2015-04-14,2022-07-22 02:02:58.810305
V00000759,D00005117,VISA Standard,2015,4,18,2015-04-18,2015-04-18,2022-07-15 04:18:39.810305
V00000223,D00001353,VISA Signature,2015,4,18,2015-04-18,2015-04-18,2022-07-22 07:41:12.810305
V00000005,D00000051,VISA Standard,2015,4,24,2015-04-24,2015-04-24,2022-07-15 22:15:04.810305
V00000159,D00000946,VISA Signature,2015,5,1,2015-05-01,2015-05-01,2022-07-19 05:21:56.810305
V00001223,D00013231,VISA Standard,2015,5,2,2015-05-02,2015-05-02,2022-07-17 02:42:11.810305
V00000662,D00004293,VISA Signature,2015,5,9,2015-05-09,2015-05-09,2022-07-25 17:29:32.810305
V00000779,D00005323,VISA Standard,2015,5,21,2015-05-21,2015-05-21,2022-07-24 20:58:50.810305
V00001040,D00009890,VISA Standard,2015,5,28,2015-05-28,2015-05-28,2022-07-21 05:44:53.810305
V00000545,D00003458,VISA Signature,2015,5,30,2015-05-30,2015-05-30,2022-07-18 10:31:27.810305
V00000467,D00003019,VISA Signature,2015,6,5,2015-06-05,2015-06-05,2022-07-25 16:44:44.810305
V00001247,D00013660,VISA Signature,2015,6,13,2015-06-13,2015-06-13,2022-07-18 22:31:28.810305
V00000652,D00004211,VISA Signature,2015,6,16,2015-06-16,2015-06-16,2022-07-17 02:18:50.810305
V00000559,D00003573,VISA Signature,2015,6,17,2015-06-17,2015-06-17,2022-07-21 09:03:41.810305
V00000719,D00004663,VISA Signature,2015,6,24,2015-06-24,2015-06-24,2022-07-18 19:57:50.810305
V00000397,D00002513,VISA Signature,2015,6,24,2015-06-24,2015-06-24,2022-07-18 03:17:48.810305
V00000107,D00000593,VISA Signature,2015,6,27,2015-06-27,2015-06-27,2022-07-21 03:54:21.810305
V00000661,D00004270,VISA Signature,2015,7,3,2015-07-03,2015-07-03,2022-07-20 20:23:25.810305
V00000484,D00003116,VISA Signature,2015,7,4,2015-07-04,2015-07-04,2022-07-23 16:29:43.810305
V00000501,D00003197,VISA Signature,2015,7,9,2015-07-09,2015-07-09,2022-07-15 00:23:23.810305
V00000422,D00002650,VISA Standard,2015,7,11,2015-07-11,2015-07-11,2022-07-25 13:44:38.810305
V00000705,D00004555,VISA Signature,2015,7,12,2015-07-12,2015-07-12,2022-07-18 12:17:58.810305
V00000410,D00002569,VISA Signature,2015,7,20,2015-07-20,2015-07-20,2022-07-25 13:24:02.810305
V00000136,D00000778,VISA Signature,2015,7,28,2015-07-28,2015-07-28,2022-07-22 16:33:32.810305
V00000592,D00003782,VISA Standard,2015,8,7,2015-08-07,2015-08-07,2022-07-23 03:38:20.810305
V00000262,D00001647,VISA Standard,2015,8,24,2015-08-24,2015-08-24,2022-07-16 19:34:04.810305
V00000018,D00000128,VISA Signature,2015,8,25,2015-08-25,2015-08-25,2022-07-24 07:49:11.810305
V00000003,D00000041,VISA Infinite,2015,9,3,2015-09-03,2015-09-03,2022-07-15 21:48:17.810305
V00000098,D00000537,VISA Signature,2015,9,6,2015-09-06,2015-09-06,2022-07-21 00:48:48.810305
V00000167,D00001011,VISA Signature,2015,9,15,2015-09-15,2015-09-15,2022-07-16 01:06:44.810305
V00000097,D00000531,VISA Standard,2015,9,19,2015-09-19,2015-09-19,2022-07-23 06:20:21.810305
V00000699,D00004532,VISA Signature,2015,9,26,2015-09-26,2015-09-26,2022-07-21 02:55:49.810305
V00000342,D00002157,VISA Signature,2015,9,27,2015-09-27,2015-09-27,2022-07-17 14:40:00.810305
V00000713,D00004627,VISA Signature,2015,9,30,2015-09-30,2015-09-30,2022-07-15 23:47:47.810305
V00000118,D00000652,VISA Signature,2015,10,22,2015-10-22,2015-10-22,2022-07-24 13:17:19.810305
V00000783,D00005433,VISA Standard,2015,10,24,2015-10-24,2015-10-24,2022-07-15 16:42:57.810305
V00001103,D00011189,VISA Signature,2015,11,4,2015-11-04,2015-11-04,2022-07-22 02:54:59.810305
