order_id,account_id,bank_to,account_to,amount,k_symbol,event_timestamp
29401,A00000001,YZ,87144583,2452.0,Household Payment,2022-07-25 03:11:35.507116
29402,A00000002,ST,89597016,3372.7,Loan Payment,2022-07-15 10:15:10.507116
29403,A00000002,QR,13943797,7266.0,Household Payment,2022-07-21 02:29:45.507116
29404,A00000003,WX,83084338,1135.0,Household Payment,2022-07-23 10:33:26.507116
29405,A00000003,CD,24485939,327.0,,2022-07-25 01:18:06.507116
29406,A00000003,AB,59972357,3539.0,Insurance Payment,2022-07-23 04:30:57.507116
29407,A00000004,UV,26693541,2078.0,Household Payment,2022-07-16 19:15:52.507116
29408,A00000004,UV,5848086,1285.0,Household Payment,2022-07-20 13:10:54.507116
29409,A00000005,GH,37390208,2668.0,Household Payment,2022-07-18 22:16:51.507116
29410,A00000006,AB,44486999,3954.0,Household Payment,2022-07-25 22:01:47.507116
29411,A00000007,IJ,34452903,4880.0,Household Payment,2022-07-23 03:53:54.507116
29412,A00000008,UV,12510681,2612.0,Household Payment,2022-07-16 19:42:11.507116
29413,A00000008,IJ,93210345,6712.0,,2022-07-20 11:24:55.507116
29414,A00000010,UV,18686104,7033.0,Household Payment,2022-07-15 06:52:12.507116
29415,A00000010,QR,93182509,1344.0,Leasing Payment,2022-07-20 17:30:28.507116
29416,A00000011,ST,38470870,2132.0,Household Payment,2022-07-25 17:18:31.507116
29417,A00000012,CD,23010808,297.0,Household Payment,2022-07-16 10:24:20.507116
29418,A00000012,KL,63607060,3295.0,Household Payment,2022-07-23 03:50:47.507116
29419,A00000013,EF,35443323,2444.0,Household Payment,2022-07-16 18:36:10.507116
29420,A00000014,WX,11793136,3629.0,Household Payment,2022-07-24 16:19:42.507116
29421,A00000015,KL,24265569,3072.0,Household Payment,2022-07-21 04:10:14.507116
29422,A00000017,EF,15076423,4032.0,Household Payment,2022-07-21 12:38:37.507116
29423,A00000019,QR,14132368,2523.2,Loan Payment,2022-07-16 06:09:24.507116
29425,A00000020,AB,3399968,2003.0,Household Payment,2022-07-21 17:32:38.507116
29426,A00000021,YZ,60152441,6276.0,Household Payment,2022-07-19 08:25:42.507116
29427,A00000022,ST,34691494,6352.0,Household Payment,2022-07-18 09:33:00.507116
29428,A00000023,MN,20774019,5807.0,Household Payment,2022-07-19 09:41:16.507116
29429,A00000024,IJ,50810194,221.0,Household Payment,2022-07-20 08:12:36.507116
29430,A00000024,QR,46086388,7641.0,,2022-07-22 20:03:52.507116
29431,A00000025,YZ,1301700,2523.2,Loan Payment,2022-07-19 20:03:16.507116
29432,A00000025,IJ,4896235,6817.0,Household Payment,2022-07-22 10:00:01.507116
29433,A00000025,AB,79838293,1110.0,,2022-07-16 07:12:55.507116
29434,A00000025,WX,52864879,164.0,Insurance Payment,2022-07-18 01:12:57.507116
29435,A00000026,EF,12891853,10387.0,Household Payment,2022-07-16 14:07:17.507116
29436,A00000027,CD,28175699,4054.0,Household Payment,2022-07-16 22:14:21.507116
29439,A00000029,ST,32924878,6871.0,Household Payment,2022-07-21 18:42:28.507116
29440,A00000029,MN,93088209,829.0,,2022-07-24 18:56:00.507116
29441,A00000029,UV,41335338,8.0,Insurance Payment,2022-07-16 17:27:50.507116
29442,A00000030,EF,66168540,2480.2,Leasing Payment,2022-07-19 19:21:08.507116
29443,A00000031,ST,42430687,10202.0,Household Payment,2022-07-19 22:32:50.507116
29444,A00000033,KL,33047658,3892.0,Household Payment,2022-07-19 21:05:38.507116
29445,A00000034,WX,21845197,1479.0,Leasing Payment,2022-07-18 08:34:21.507116
29446,A00000034,GH,19993174,502.0,Household Payment,2022-07-23 00:42:02.507116
29447,A00000034,IJ,58999049,6070.0,,2022-07-20 19:40:05.507116
29448,A00000035,MN,56788617,1022.0,Household Payment,2022-07-25 06:42:10.507116
29449,A00000035,MN,99848401,1362.0,Household Payment,2022-07-22 20:21:20.507116
29450,A00000036,CD,80693810,4069.0,Household Payment,2022-07-23 23:27:02.507116
29451,A00000037,QR,71644407,5307.5,Loan Payment,2022-07-22 23:46:20.507116
29452,A00000037,IJ,29728555,2317.0,Household Payment,2022-07-24 07:36:20.507116
29453,A00000037,OP,23782724,2584.0,,2022-07-19 17:03:59.507116
29454,A00000037,YZ,89609831,97.0,Insurance Payment,2022-07-20 22:34:48.507116
29455,A00000038,QR,79067885,2306.8,Loan Payment,2022-07-22 02:46:20.507116
29456,A00000038,EF,2692229,6901.0,Household Payment,2022-07-15 16:41:34.507116
29457,A00000038,KL,83435654,231.0,,2022-07-16 23:28:11.507116
29458,A00000038,OP,64685678,228.0,Insurance Payment,2022-07-24 01:45:08.507116
29459,A00000039,CD,77015351,145.0,Household Payment,2022-07-25 07:35:38.507116
29460,A00000039,WX,949460,2970.0,Household Payment,2022-07-24 04:11:17.507116
29461,A00000040,ST,31161588,33.0,Household Payment,2022-07-17 02:19:32.507116
29462,A00000040,MN,96111678,4301.0,,2022-07-16 14:13:44.507116
29463,A00000042,CD,1007766,4239.0,Household Payment,2022-07-21 00:35:14.507116
29464,A00000042,KL,55873340,239.0,,2022-07-20 10:51:59.507116
29465,A00000042,YZ,38318204,1592.0,Insurance Payment,2022-07-16 19:51:34.507116
29466,A00000043,CD,89718746,6589.0,Household Payment,2022-07-17 05:41:50.507116
29467,A00000044,GH,11344862,2344.0,Household Payment,2022-07-22 01:01:15.507116
29470,A00000047,KL,76620852,6940.0,Household Payment,2022-07-21 19:02:01.507116
29471,A00000047,KL,37438374,174.0,,2022-07-15 13:41:57.507116
29472,A00000047,EF,83359431,141.0,Insurance Payment,2022-07-25 05:01:57.507116
29473,A00000047,UV,30289006,9.0,,2022-07-19 10:43:38.507116
29474,A00000048,AB,50218236,6268.0,Household Payment,2022-07-23 17:54:04.507116
29475,A00000048,ST,2071685,1029.0,,2022-07-17 05:13:24.507116
29476,A00000049,CD,83233099,3102.0,Household Payment,2022-07-20 20:17:43.507116
29477,A00000050,WX,75148117,269.0,Household Payment,2022-07-23 23:15:19.507116
29478,A00000050,UV,17270559,7024.0,,2022-07-24 04:57:44.507116
29479,A00000051,KL,71050131,2074.0,Household Payment,2022-07-17 19:44:47.507116
29480,A00000051,KL,74449389,2057.0,,2022-07-18 18:16:08.507116
29481,A00000052,EF,6008005,560.0,Household Payment,2022-07-17 16:02:52.507116
29482,A00000052,QR,85721850,3723.0,,2022-07-18 12:39:07.507116
29483,A00000053,MN,81024360,2851.0,Household Payment,2022-07-19 14:49:44.507116
29484,A00000054,IJ,90659772,2280.0,Household Payment,2022-07-18 01:33:46.507116
29485,A00000055,EF,53077900,3086.0,Household Payment,2022-07-23 09:12:51.507116
29486,A00000056,KL,73539948,8080.0,Household Payment,2022-07-15 04:44:49.507116
29487,A00000057,YZ,55066728,4107.0,Household Payment,2022-07-17 07:03:41.507116
29489,A00000059,IJ,38201576,695.0,Household Payment,2022-07-16 04:08:10.507116
29490,A00000059,ST,65394794,6190.0,,2022-07-17 11:51:38.507116
29493,A00000061,EF,20533621,1645.0,Household Payment,2022-07-18 14:42:59.507116
29494,A00000061,IJ,20426410,668.0,Household Payment,2022-07-19 21:24:17.507116
29495,A00000062,EF,80010622,2273.0,Household Payment,2022-07-15 08:13:48.507116
29496,A00000063,CD,85474604,2237.0,Household Payment,2022-07-22 21:14:12.507116
29497,A00000063,EF,8346772,157.0,Household Payment,2022-07-16 09:25:47.507116
29498,A00000065,YZ,74934333,686.0,Household Payment,2022-07-16 19:52:42.507116
29499,A00000065,CD,20976132,3315.0,,2022-07-23 01:17:32.507116
29500,A00000065,GH,7764506,3401.0,Insurance Payment,2022-07-25 01:47:31.507116
29501,A00000066,GH,17993182,4471.3,Leasing Payment,2022-07-15 01:26:52.507116
29502,A00000067,YZ,45128363,6915.0,Loan Payment,2022-07-20 19:16:08.507116
29503,A00000067,YZ,57342255,6393.0,Household Payment,2022-07-19 18:19:31.507116
29504,A00000067,UV,59079301,445.0,,2022-07-23 01:22:56.507116
29505,A00000068,WX,86834001,1705.0,Household Payment,2022-07-17 04:05:17.507116
29506,A00000068,IJ,8292192,1186.0,,2022-07-15 12:19:25.507116
29507,A00000068,ST,34692824,137.0,Insurance Payment,2022-07-15 01:58:01.507116
29508,A00000068,MN,92248808,61.0,,2022-07-24 04:22:32.507116
29509,A00000070,KL,7699788,4150.0,Household Payment,2022-07-22 10:27:19.507116
29510,A00000071,YZ,53903484,968.0,Household Payment,2022-07-23 15:35:04.507116
29511,A00000071,IJ,11544728,1602.0,,2022-07-18 13:54:40.507116
29512,A00000071,OP,9098768,1011.0,Insurance Payment,2022-07-16 10:10:15.507116
29513,A00000071,QR,34794885,778.0,,2022-07-23 10:20:12.507116
29514,A00000072,OP,43079012,2923.0,Leasing Payment,2022-07-16 13:03:30.507116
29515,A00000072,EF,69338589,7109.0,Household Payment,2022-07-21 00:22:33.507116
29516,A00000072,ST,8297068,2286.0,,2022-07-20 00:50:42.507116
29517,A00000073,CD,67077487,6061.0,Household Payment,2022-07-17 17:57:39.507116
29522,A00000075,IJ,74818038,3369.0,Household Payment,2022-07-15 07:15:31.507116
29523,A00000076,MN,98325132,5208.0,Household Payment,2022-07-25 11:40:20.507116
29524,A00000077,ST,28454154,1709.0,Leasing Payment,2022-07-19 22:16:48.507116
29525,A00000078,WX,32111394,9039.0,Household Payment,2022-07-16 20:45:01.507116
29526,A00000079,CD,15471804,2788.0,Household Payment,2022-07-23 01:17:56.507116
29527,A00000080,IJ,85687774,2252.0,Household Payment,2022-07-24 22:27:53.507116
